[eSearchID]	[smart_phone_user_check]	[current_phone]	[current_phone] [other]	[SmartPhone_Model]	[alt_phone]	[Searching_and_Trying.0]	[Searching_and_Trying.1]	[Searching_and_Trying.2]	[Defending.0]	[Defending.1]	[Defending.2]	[Staying.0]	[Staying.1]	[Staying.2]	[Staying.3]	[Upgrading.0]	[Upgrading.1]	[Upgrading.2]	[Upgrading.3]	[Opposing.0]	[Opposing.1]	[Opposing.2]	[Opposing.3]	[Threats_to_Social_Identity.0]	[Threats_to_Social_Identity.1]	[Threats_to_Social_Identity.2]	[Threats_to_Social_Identity.3]	[Threats_to_Self_Image.0]	[Threats_to_Self_Image.1]	[Threats_to_Self_Image.2]	[Threats_to_Self_Image.3]	[Threats_to_Ability.0]	[Threats_to_Ability.1]	[Threats_to_Ability.2]	[Threats_to_Ability.3]	[Transfer_Cost.0]	[Transfer_Cost.1]	[Transfer_Cost.2]	[Transfer_Cost.3]	[Learning_Cost.0]	[Learning_Cost.1]	[Learning_Cost.2]	[Learning_Cost.3]	[Search_Cost.0]	[Search_Cost.1]	[Search_Cost.2]	[Service_Uncertainty.0]	[Service_Uncertainty.1]	[Service_Uncertainty.2]	[Benefit_Loss_Cost.0]	[Benefit_Loss_Cost.1]	[Benefit_Loss_Cost.2]	[Benefit_Loss_Cost.3]	[User_Identification.0]	[User_Identification.1]	[User_Identification.2]	[Brand_Identification.0]	[Brand_Identification.1]	[Brand_Identification.2]	[Brand_Identification.3]	[Alt_image.0]	[Alt_image.1]	[Alt_image.2]	[Habit.0]	[Habit.1]	[Habit.2]	[Habit.3]	[Inertia_Cognitive.0]	[Inertia_Cognitive.1]	[Inertia_Cognitive.2]	[Inertia_Behavioral.0]	[Inertia_Behavioral.1]	[Inertia_Behavioral.2]	[Inertia_Behavioral.3]	[Inertia_Affective.0]	[Inertia_Affective.1]	[Inertia_Affective.2]	[Self_efficacy.0]	[Self_efficacy.1]	[Self_efficacy.2]	[Self_efficacy.3]	[Ease_of_Use.0]	[Ease_of_Use.1]	[Ease_of_Use.2]	[Relative_Advantage.0]	[Relative_Advantage.1]	[Relative_Advantage.2]	[Familiarity.0]	[Familiarity.1]	[Familiarity.2]	[Relative_price]	[Smartphone_Attentiveness.0]	[Smartphone_Attentiveness.1]	[Smartphone_Attentiveness.2]	[Ego_Involvement.0]	[Ego_Involvement.1]	[Ego_Involvement.2]	[Gender]	[Age]	[Household_Income.0]	[Smartphone_Experience.0]	[Smartphone_Experience.1]	[Smartphone_Experience.2]	[Frequency]
1129738	1	1		S5	2	4	6	5	3	5	4	2	4	5	5	3	6	6	5	5	4	3	6	4	4	4	4	4	4	3	3	3	3	3	3	4	3	2	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	4	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	1	5	9	2	5	5	2
1556315	1	1		 5s	2	4	4	4	5	5	5	4	5	5	4	4	5	5	7	2	2	1	1	1	1	1	1	1	1	1	2	1	2	2	3	2	2	2	3	5	5	5	4	6	5	4	4	3	4	4	5	5	3	3	3	3	2	2	4	4	4	4	4	6	5	5	5	4	4	5	5	4	5	5	5	5	6	4	3	4	5	4	4	4	4	4	4	2	2	2	5	1	1	1	1	1	5	1	4	5	1	1	1	1
1561348	1	4		midnight	2	5	5	5	4	4	4	4	4	4	4	4	4	4	4	3	3	4	3	4	3	4	4	4	3	3	4	4	3	3	4	3	4	4	3	4	4	4	4	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	4	4	4	4	4	4	4	4	4	4	4	5	5	6	4	4	4	4	4	4	4	4	4	4	5	5	4	5	4	4	4	1	3	7	3	4	1	3
1205903	1	2			1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	7	1	1	1	1	1	1	1	5	3	1	1	7	4
900147	1	2		SIII	1	7	7	7	7	7	7	1	1	4	4	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	6	2	1	6	6	2	6	6	7	5	6	5	6	6	1	4	1	6	6	6	6	1	1	1	4	4	4	4	5	6	1	7	7	1	1	7	7	7	1	1	1	5	1	6	4	6	7	6	6	7	7	0	4	15	4	2	2	4
1369057	1	2		S3	1	4	4	4	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	4	4	4	4	4	4	4	4	4	4	4	3	1	3	4	4	4	1	5	2	1	3	2	4
537568	1	1		5s	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	3	3	3	3	3	2	3	2	3	2	3	3	3	3	3	3	4	4	4	4	3	5	4	4	5	5	5	3	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	5	5	4	4	4	4	5	5	5	5	5	5	3	4	4	4	4	4	4	5	5	5	3	3	3	4	3	3	3	3	3	3	1	5	11	1	4	4	4
729550	1	4		840	2	7	7	7	7	7	7	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	4	4	4	1	7	7	7	7	7	7	7	7	7	7	7	4	7	5	7	7	7	7	7	7	1	5	5	1	3	1	4
1492515	1	4			1	6	6	4	4	4	1	4	5	4	6	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	4	4	3	5	4	2	3	4	4	6	6	6	6	4	4	4	4	4	5	4	5	5	5	4	4	4	4	4	4	4	5	5	5	7	7	6	6	5	4	4	5	4	4	5	4	4	4	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	6	1	1	1	1	5	5	3	7	5	4
452012	1	1		5	2	7	7	6	6	6	6	6	6	6	5	6	6	6	7	2	2	2	2	6	1	1	1	1	1	1	1	7	7	6	6	3	3	6	2	7	7	6	5	6	5	5	6	6	5	3	3	3	3	4	3	3	5	3	3	3	3	5	5	6	6	5	6	5	5	5	6	5	5	5	6	6	7	2	2	5	7	5	5	5	6	5	5	1	2	2	5	3	3	2	3	3	6	1	6	7	1	3	3	5
1178702	1	4		530G	2	4	4	3	4	4	4	4	4	4	4	3	3	3	2	3	3	4	3	1	1	1	1	1	1	1	1	1	2	2	2	4	3	4	3	5	5	4	4	5	5	4	3	4	4	4	4	3	1	3	3	3	4	4	4	4	3	1	1	5	5	5	3	4	5	4	3	4	4	4	5	4	2	5	5	3	4	5	6	4	4	4	4	4	4	5	6	3	3	4	1	1	2	0	5	13	1	2	2	2
1219291	1	2		galaxy s5	1	2	2	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	7	7	7	1	1	1	7	7	7	7	7	7	7	0	5	5	7	7	2	7
861666	1	2		S3	1	2	2	1	6	6	6	6	5	6	6	6	5	6	5	7	6	6	4	3	3	4	3	3	4	3	7	5	4	4	6	5	4	4	5	6	5	5	5	4	4	5	5	5	4	6	5	5	4	6	5	5	6	6	5	5	3	3	3	7	6	5	6	4	5	5	4	5	4	4	6	6	4	6	5	5	5	3	3	3	5	4	4	4	5	5	4	5	5	4	5	5	4	0	5	16	3	7	2	6
1111791	1	1		4S	2	7	7	5	4	4	4	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	6	3	5	1	2	5	7	7	7	5	2	1	2	4	1	1	1	1	1	2	2	3	1	4	4	1	6	7	6	6	4	4	5	4	4	4	1	1	1	1	4	4	1	5	4	6	7	4	4	6	5	4	4	5	1	4	7	3	4	4	5	4	4	0	5	3	2	2	2	1
1176898	1	1		i phone 4	2	3	4	3	7	7	6	7	7	7	7	7	7	7	7	3	2	3	2	3	4	3	4	2	3	2	5	4	3	4	3	2	3	2	3	4	3	4	3	4	3	4	4	3	4	3	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	5	4	5	4	5	5	4	7	5	4	5	4	5	4	5	4	5	4	4	5	4	4	4	3	5	5	4	3	0	5	9	2	4	3	4
524037	1	2		S4	1	7	7	6	6	6	6	3	3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	2	1	1	1	1	1	1	1	2	2	2	2	4	4	4	1	1	1	7	7	7	7	1	1	1	1	1	1	1	7	7	1	7	7	7	7	7	7	7	4	4	4	1	1	1	6	7	7	7	1	1	1	1	5	7	5	7	1	6
1517504	1	2		S3	1	1	1	1	1	1	2	6	7	7	7	5	6	6	7	4	4	4	3	1	1	1	1	4	3	6	7	7	7	7	6	7	7	7	7	6	7	7	7	6	7	7	4	7	5	4	5	6	4	4	3	4	4	4	4	3	3	2	2	2	2	3	1	6	5	7	7	5	5	4	7	7	7	4	3	5	6	2	2	2	1	1	1	3	1	2	7	1	2	4	1	1	1	1	4	1	1	1	1	1
1453484	1	2		Note 3	1	7	7	7	4	4	4	4	6	5	4	5	3	4	4	5	4	5	4	4	6	4	3	3	5	3	4	3	4	4	3	3	5	6	3	3	4	4	3	6	3	5	2	4	3	5	3	6	3	2	6	4	3	6	3	5	3	4	2	3	7	4	4	3	6	3	2	6	4	3	3	6	4	3	5	4	3	3	6	3	2	5	3	4	3	5	7	2	4	3	6	3	4	1	2	2	4	3	6	7
EID951420	1	8		curve	1	7	7	7	7	6	7	7	6	6	6	6	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	5	2	1	3	6	6	6	6	6	6	3	3	7	4	7	7	4	4	4	4	5	5	5	4	4	5	5	5	5	5	5	4	3	3	5	5	4	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	0	4	15	6	6	6	4
1062758	1	1			2	2	2	2	5	5	4	3	3	6	5	5	5	5	5	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	6	3	4	4	5	5	5	5	6	6	6	5	5	5	5	5	5	5	5	5	4	4	4	4	4	5	5	5	6	6	6	5	5	5	5	5	5	5	5	5	5	5	2	2	5	5	5	4	4	4	4	4	4	2	2	5	2	2	2	3	3	5	0	5	5	1	1	1	3
365041	1	1		5c	2	2	2	2	4	4	5	5	5	5	5	2	6	4	5	2	2	2	2	2	2	2	2	3	2	2	5	1	2	2	3	3	3	5	5	3	7	6	5	6	6	6	4	4	5	5	5	5	4	5	4	5	4	4	5	5	4	6	6	6	6	6	5	4	4	6	4	4	4	5	6	6	4	7	7	2	4	5	5	5	4	3	3	5	6	6	4	2	2	2	2	2	5	0	6	16	4	7	7	3
1080467	1	1		4	2	2	2	2	5	5	5	5	5	5	5	5	5	5	6	3	3	3	3	2	2	2	2	2	2	2	5	1	1	1	1	2	2	2	2	2	2	2	2	5	4	3	2	2	5	5	5	2	2	4	4	4	3	3	3	3	3	3	3	5	5	5	2	5	5	5	5	5	5	5	5	5	2	7	7	7	7	6	6	6	2	2	2	5	5	5	4	2	2	2	2	2	2	0	4	7	3	5	5	4
180115	1	2		galaxy 5s	1	4	4	5	5	6	5	5	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	3	3	3	5	5	4	4	5	5	5	4	5	5	5	4	4	4	4	5	5	4	5	5	4	5	5	4	4	5	5	4	5	4	5	5	6	5	5	5	5	5	5	5	5	5	5	4	5	5	6	5	5	5	5	5	4	5	5	6	5	5	5	5	5	5	1	4	10	4	6	2	6
1110432	1	2		galaxy s2	1	7	7	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	2	2	2	2	2	2	2	2	3	2	3	3	3	2	3	2	5	5	5	5	4	4	4	4	4	5	3	3	3	3	3	3	3	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	3	5	2	2	1	5
119626	1	2		S4	1	1	1	1	6	6	6	5	6	6	6	5	6	5	5	3	3	3	3	2	2	2	2	3	3	3	5	3	3	3	3	4	3	3	3	5	5	5	5	5	5	5	4	4	4	3	4	5	4	3	3	3	2	2	2	2	2	2	2	6	6	6	6	5	4	4	3	4	5	5	5	5	5	7	7	7	7	6	6	6	4	4	4	2	2	3	6	3	5	4	3	3	3	1	4	3	3	7	3	4
1207519	1	2		s4	1	5	6	7	7	7	7	5	5	6	6	7	7	7	6	6	6	5	7	5	5	6	6	7	7	7	7	6	6	5	6	5	5	6	7	5	6	5	6	5	6	6	6	6	5	4	5	5	6	4	4	6	5	5	6	6	7	7	7	4	4	5	6	6	7	7	7	7	6	6	4	5	6	5	6	6	6	7	7	7	6	6	7	5	5	6	4	5	5	6	4	5	5	0	3	6	5	4	3	4
1550930	1	4		Nexus4	2	4	3	5	4	4	4	4	5	4	5	5	4	5	4	4	3	4	5	4	5	4	3	5	6	5	3	4	5	6	5	4	5	5	4	5	6	4	4	5	4	3	5	4	3	4	5	5	4	4	5	4	5	4	5	4	4	5	4	4	5	4	5	4	5	4	4	3	5	4	4	5	5	3	4	5	5	4	3	3	4	5	4	3	4	5	6	4	5	5	4	5	5	0	3	11	4	3	1	7
1322826	1	2		s4	1	7	7	7	1	1	1	1	1	1	1	2	3	2	2	4	3	4	4	3	3	3	3	3	3	3	1	4	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	2	2	2	4	4	2	2	4	3	4	1	1	1	2	4	4	4	4	4	4	2	2	2	3	3	3	3	3	5	5	4	5	5	5	7	7	7	6	5	5	5	5	6	3	1	3	16	4	6	1	4
1320702	1	1		5S	2	7	7	4	6	6	6	1	4	4	1	1	4	4	1	1	1	1	1	1	2	1	1	1	1	1	2	3	4	5	2	4	5	3	1	6	7	6	5	5	5	4	4	5	5	5	5	5	4	4	4	5	5	4	6	5	4	4	4	5	5	5	5	2	1	4	1	2	3	3	5	7	4	6	6	7	7	4	4	4	5	5	5	5	5	5	3	6	6	5	5	5	7	0	5	6	2	4	1	5
1554753	1	9	Blu	Advance 4.0	2	4	5	4	6	6	4	4	5	3	4	4	5	4	6	4	4	4	4	4	1	3	1	1	1	1	4	2	1	1	1	5	2	4	2	5	5	4	4	4	5	5	2	2	1	3	4	4	4	4	6	6	4	5	4	4	5	5	5	6	6	5	5	6	6	6	6	6	6	5	7	7	3	7	6	6	6	6	6	6	6	6	6	4	4	4	7	3	3	4	4	5	5	1	2	5	2	3	1	4
903911	1	4		Optimus dynamic 2	2	4	4	4	5	5	5	6	6	6	6	5	4	4	4	3	3	3	3	3	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	2	2	2	2	3	3	3	4	4	4	4	4	4	4	4	4	4	4	3	5	5	6	6	6	5	5	4	5	6	6	4	6	5	5	5	5	5	5	4	4	4	4	3	4	6	5	5	6	4	4	5	0	4	10	1	1	1	2
1324610	1	1		iPhone 5	2	6	6	5	4	4	4	3	4	3	3	3	4	3	5	3	2	3	1	2	1	1	1	1	1	1	3	1	1	1	1	3	2	2	3	5	5	5	5	5	4	4	5	5	6	5	5	3	3	4	4	4	1	3	3	3	3	3	1	6	5	6	7	3	3	3	5	5	5	5	6	6	3	6	5	7	5	5	5	5	5	5	5	3	3	3	4	3	3	3	2	1	5	0	3	13	3	6	2	5
58454	1	2		S3	1	5	3	1	7	7	7	5	7	5	6	5	7	7	7	4	4	4	4	1	1	1	1	1	1	5	7	5	7	7	6	7	3	6	7	7	7	7	6	5	5	6	6	5	7	7	7	5	2	1	1	1	1	1	1	1	1	7	5	7	6	7	7	5	5	7	7	7	7	7	7	7	7	7	7	7	2	3	4	4	5	5	4	3	1	2	7	1	2	3	1	1	3	1	4	10	1	5	2	3
676663	1	1		iPhone 4	2	2	2	2	4	4	4	1	5	5	5	1	5	5	4	2	1	1	1	2	1	2	1	5	5	3	6	1	1	1	1	2	1	1	2	2	5	3	2	2	2	2	6	7	7	7	5	1	1	5	5	5	5	5	6	6	1	1	1	7	7	7	7	6	6	6	6	6	6	5	6	5	2	7	7	7	7	4	4	4	2	2	2	1	1	1	2	4	3	3	5	4	5	1	3	16	3	6	4	4
1516229	1	2		s4	1	4	4	4	7	7	7	7	7	7	7	7	7	7	4	4	4	4	1	1	1	1	1	1	1	1	7	1	1	1	1	4	4	4	4	1	1	1	5	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4		4	4	4	4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	1	5	4	1	7	4	4
SR062614	1	1		iPhone5	2	5	5	5	6	6	6	5	5	4	5	4	5	5	5	3	3	3	2	3	3	3	3	3	3	3	4	5	5	5	5	5	5	5	3	5	5	5	4	6	5	5	5	5	5	5	6	6	5	4	4	4	5	4	5	4	4	4	4	6	6	7	4	2	2	3	4	5	5	5	6	6	6	2	2	4	5	4	4	4	5	5	5	2	4	2	4	5	5	6	6	4	7	0	5	6	1	3	1	3
1181936	1	1		5	2	5	5	4	5	5	5	7	5	7	7	7	7	7	7	4	4	3	3	1	1	1	1	1	1	7	4	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	7	7	5	7	2	1	4	4	4	4	4	4	4	1	1	1	7	7	7	7	7	7	7	5	6	6	6	7	7	7	3	3	5	4	2	2	2	2	3	2	1	5	4	7	4	4	4	3	1	2	1	3	1	1	3	3	5
1224751	1	2			1	5	5	5	5	4	5	4	5	5	4	4	5	5	5	1	1	1	1	3	3	2	1	1	1	1	2	1	1	1	1	3	3	4	3	5	5	6	5	5	5	4	3	3	3	4	2	1	1	5	5	5	4	4	4	5	5	6	6	4	4	4	4	3	4	6	5	5	5	5	6	5	4	6	6	6	7	6	6	6	4	4	4	5	6	7	7	4	4	4	2	2	5	0	5	7	1	3	3	2
1335902	1	6		icon 	2	4	3	4	6	5	4	6	5	5	5	4	4	4	7	3	4	4	4	4	4	3	5	5	4	5	3	4	4	5	4	4	4	4	3	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	5	5	3	4	4	4	4	4	4	4	5	4	5	5	4	4	5	5	4	5	4	4	4	4	4	5	4	4	4	5	4	4	4	4	4	5	4	4	4	0	5	11	5	7	2	7
1528975	1	1		iPhone 4s	2	4	2	2	5	5	4	5	6	6	6	5	7	5	6	1	1	2	1	2	2	1	1	2	2	5	3	4	5	5	5	5	3	1	4	5	5	5	5	5	5	4	5	5	6	4	4	1	1	4	5	4	4	1	2	2	1	2	1	7	6	6	4	4	4	6	4	4	4	5	5	7	1	4	4	7	7	2	2	2	4	4	4	1	2	1	6	1	2	1	1	1	4	1	2	16	1	2	5	4
955744	1	2		S3	1	1	1	1	7	4	7	7	7	7	1	7	7	7	3	7	7	7	7	1	1	1	1	7	7	7	7	5	3	2	3	6	5	5	7	4	6	5	4	3	3	5	6	6	7	7	7	7	1	1	1	1	1	4	4	4	1	1	1	6	6	7	2	7	7	7	6	6	6	7	7	7	5	6	6	6	6	5	5	4	2	2	2	1	2	4	7	1	1	1	1	1	1	1	6	3	1	2	2	3
1149807	1	2		s5	1	5	5	5	5	5	6	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	3	3	3	3	3	3	3	3	3	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4	4	5	5	6	5	5	6	6	4	5	5	5	5	6	5	5	4	4	5	6	6	6	6	6	4	7	7	6	6	5	4	4	4	4	4	5	5	5	5	6	4	6	5	4	5	0	5	9	2	5	1	4
174053	1	2		note 3	1	1	1	1	1	1	1	7	7	7	7	4	4	4	4	4	4	4	4	2	1	2	1	3	1	1	1	3	5	5	5	5	5	5	5	6	6	6	7	5	4	7	4	4	4	5	5	3	3	4	4	4	4	4	4	4	4	4	4	6	6	6	6	7	7	7	5	5	5	5	6	6	5	5	4	4	5	1	1	1	2	2	2	1	7	1	6	1	1	1	1	1	1	1	5	9	2	5	1	3
526681	1	1		4s	2	3	3	3	4	4	4	6	5	6	6	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	5	5	6	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	4	3	4	1	5	5	3	7	5	5
